iter	Passed	Remaining
557	61353	708310
558	61464	708212
559	61560	707943
560	61659	707713
561	61760	707496
562	61867	707357
563	61964	707092
564	62058	706809
565	62207	707147
566	62311	706964
567	62414	706776
568	62514	706551
569	62616	706353
570	62728	706274
571	62880	706636
572	62977	706385
573	63090	706307
574	63189	706076
575	63287	705833
576	63408	705850
577	63513	705681
578	63612	705452
579	63717	705282
580	63818	705079
581	63930	704996
582	64040	704882
583	64132	704578
584	64227	704305
585	64360	704448
586	64456	704192
587	64563	704044
588	64667	703879
589	64795	703960
590	64938	704212
591	65122	704910
592	65216	704622
593	65314	704383
594	65415	704183
595	65513	703944
596	65611	703704
597	65717	703552
598	65820	703371
599	65917	703115
600	66018	702913
601	66117	702691
602	66208	702376
603	66299	702069
604	66408	701950
605	66525	701919
606	66673	702211
607	66811	702396
608	66910	702172
609	67006	701918
610	67102	701662
611	67223	701670
612	67391	702166
613	67492	701963
614	67587	701702
615	67684	701454
616	67781	701218
617	67877	700959
618	67983	700808
619	68084	700607
620	68182	700379
621	68281	700162
622	68411	700260
623	68514	700078
624	68608	699808
625	68707	699588
626	68808	699387
627	68909	699186
628	69012	699011
629	69111	698797
630	69210	698577
631	69311	698375
632	69400	698057
633	69505	697908
634	69660	698255
635	69754	697985
636	69884	698073
637	69996	697991
638	70101	697829
639	70200	697622
640	70301	697418
641	70415	697354
642	70517	697165
643	70610	696893
644	70712	696710
645	70809	696479
646	70908	696266
647	71002	695998
648	71106	695838
649	71204	695615
650	71305	695424
651	71394	695109
652	71499	694957
653	71595	694715
654	71689	694459
655	71789	694256
656	71954	694684
657	72059	694527
658	72157	694314
659	72254	694080
660	72386	694185
661	72485	693974
662	72581	693735
663	72683	693555
664	72787	693396
665	72890	693223
666	72982	692948
667	73091	692832
668	73187	692597
669	73290	692428
670	73400	692330
671	73515	692271
672	73612	692044
673	73711	691841
674	73813	691656
675	73907	691406
676	74010	691241
677	74158	691491
678	74266	691364
679	74360	691114
680	74463	690950
681	74573	690846
682	74669	690611
683	74770	690428
684	74902	690526
685	75003	690334
686	75105	690165
687	75203	689946
688	75304	689764
689	75443	689928
690	75546	689762
691	75665	689738
692	75763	689521
693	75883	689516
694	75978	689274
695	76088	689172
696	76184	688937
697	76283	688732
698	76444	689091
699	76551	688967
700	76647	688735
701	76747	688537
702	76904	688858
703	77032	688912
704	77153	688908
705	77248	688669
706	77345	688447
707	77472	688502
708	77578	688361
709	77671	688107
710	77770	687900
711	77879	687791
712	78038	688119
713	78147	688000
714	78246	687802
715	78346	687613
716	78438	687351
717	78562	687366
718	78702	687521
719	78812	687419
720	78904	687158
721	79003	686958
722	79095	686693
723	79199	686545
724	79290	686275
725	79394	686119
726	79496	685945
727	79612	685892
728	79716	685733
729	79808	685481
730	79921	685401
731	80022	685221
732	80106	684891
733	80215	684779
734	80316	684605
735	80407	684341
736	80512	684192
737	80651	684331
738	80780	684391
739	80943	684739
740	81080	684864
741	81200	684845
742	81296	684615
743	81432	684734
744	81537	684586
745	81635	684380
746	81735	684190
747	81838	684032
748	81939	683853
749	82037	683644
750	82139	683477
751	82244	683326
752	82342	683122
753	82444	682957
754	82599	683224
755	82699	683036
756	82799	682847
757	82902	682686
758	83011	682571
759	83110	682383
760	83243	682461
761	83376	682549
762	83477	682374
763	83605	682410
764	83704	682221
765	83799	681994
766	83899	681805
767	84006	681676
768	84102	681463
769	84204	681288
770	84311	681159
771	84407	680945
772	84502	680719
773	84611	680608
774	84710	680415
775	84826	680362
776	84925	680171
777	85023	679968
778	85126	679807
779	85223	679602
780	85323	679416
781	85428	679274
782	85567	679404
783	85683	679347
784	85781	679152
785	85885	678996
786	85979	678768
787	86082	678611
788	86186	678458
789	86290	678305
790	86390	678124
791	86529	678250
792	86637	678131
793	86738	677955
794	86836	677760
795	86946	677654
796	87070	677666
797	87220	677874
798	87362	678016
799	87465	677860
800	87565	677679
801	87698	677748
802	87802	677600
803	87939	677703
804	88034	677480
805	88132	677284
806	88234	677120
807	88343	677008
808	88441	676809
809	88547	676678
810	88665	676632
811	88778	676553
812	88877	676363
813	88978	676195
814	89075	675988
815	89328	676967
816	89460	677029
817	89651	677539
818	89837	678000
819	89943	677865
820	90046	677710
821	90189	677849
822	90300	677749
823	90413	677660
